cohort_month,order_month,retationed_customer
7/1/2020,4/1/2025,4
8/1/2020,8/1/2020,190
8/1/2020,9/1/2020,3
8/1/2020,10/1/2020,4
8/1/2020,11/1/2020,6
8/1/2020,12/1/2020,8
8/1/2020,1/1/2021,10
8/1/2020,2/1/2021,7
8/1/2020,3/1/2021,4
8/1/2020,4/1/2021,6
8/1/2020,5/1/2021,3
8/1/2020,6/1/2021,3
8/1/2020,7/1/2021,6
8/1/2020,8/1/2021,3
8/1/2020,9/1/2021,6
8/1/2020,10/1/2021,6
8/1/2020,11/1/2021,4
8/1/2020,12/1/2021,5
8/1/2020,1/1/2022,6
8/1/2020,2/1/2022,2
8/1/2020,3/1/2022,4
8/1/2020,4/1/2022,2
8/1/2020,5/1/2022,4
8/1/2020,6/1/2022,1
8/1/2020,7/1/2022,8
8/1/2020,8/1/2022,6
8/1/2020,9/1/2022,5
8/1/2020,10/1/2022,2
8/1/2020,11/1/2022,3
8/1/2020,12/1/2022,4
8/1/2020,1/1/2023,4
8/1/2020,2/1/2023,3
8/1/2020,3/1/2023,4
8/1/2020,4/1/2023,1
8/1/2020,5/1/2023,5
8/1/2020,6/1/2023,3
8/1/2020,7/1/2023,1
8/1/2020,8/1/2023,4
8/1/2020,9/1/2023,8
8/1/2020,10/1/2023,10
8/1/2020,11/1/2023,6
8/1/2020,12/1/2023,3
8/1/2020,1/1/2024,9
8/1/2020,2/1/2024,4
8/1/2020,3/1/2024,4
8/1/2020,4/1/2024,6
8/1/2020,5/1/2024,3
8/1/2020,6/1/2024,4
8/1/2020,7/1/2024,4
8/1/2020,8/1/2024,4
8/1/2020,9/1/2024,3
8/1/2020,10/1/2024,5
8/1/2020,11/1/2024,6
8/1/2020,12/1/2024,4
8/1/2020,1/1/2025,2
8/1/2020,2/1/2025,7
8/1/2020,3/1/2025,7
8/1/2020,4/1/2025,8
9/1/2020,9/1/2020,162
9/1/2020,10/1/2020,8
9/1/2020,11/1/2020,2
9/1/2020,12/1/2020,5
9/1/2020,1/1/2021,4
9/1/2020,2/1/2021,3
9/1/2020,3/1/2021,7
9/1/2020,4/1/2021,1
9/1/2020,5/1/2021,5
9/1/2020,6/1/2021,5
9/1/2020,7/1/2021,2
9/1/2020,8/1/2021,6
9/1/2020,9/1/2021,2
9/1/2020,10/1/2021,5
9/1/2020,11/1/2021,6
9/1/2020,12/1/2021,5
9/1/2020,1/1/2022,3
9/1/2020,2/1/2022,6
9/1/2020,3/1/2022,3
9/1/2020,4/1/2022,10
9/1/2020,5/1/2022,1
9/1/2020,6/1/2022,6
9/1/2020,7/1/2022,5
9/1/2020,8/1/2022,5
9/1/2020,9/1/2022,3
9/1/2020,10/1/2022,4
9/1/2020,11/1/2022,9
9/1/2020,12/1/2022,4
9/1/2020,1/1/2023,4
9/1/2020,2/1/2023,5
9/1/2020,3/1/2023,4
9/1/2020,4/1/2023,4
9/1/2020,5/1/2023,4
9/1/2020,6/1/2023,7
9/1/2020,7/1/2023,5
9/1/2020,8/1/2023,7
9/1/2020,9/1/2023,6
9/1/2020,10/1/2023,4
9/1/2020,11/1/2023,5
9/1/2020,12/1/2023,5
9/1/2020,1/1/2024,6
9/1/2020,2/1/2024,1
9/1/2020,3/1/2024,7
9/1/2020,4/1/2024,2
9/1/2020,5/1/2024,4
9/1/2020,6/1/2024,7
9/1/2020,7/1/2024,5
9/1/2020,8/1/2024,1
9/1/2020,9/1/2024,3
9/1/2020,10/1/2024,4
9/1/2020,11/1/2024,3
9/1/2020,12/1/2024,2
9/1/2020,1/1/2025,1
9/1/2020,2/1/2025,7
9/1/2020,3/1/2025,1
9/1/2020,4/1/2025,4
10/1/2020,10/1/2020,179
10/1/2020,11/1/2020,5
10/1/2020,12/1/2020,2
10/1/2020,1/1/2021,3
10/1/2020,2/1/2021,7
10/1/2020,3/1/2021,7
10/1/2020,4/1/2021,5
10/1/2020,5/1/2021,5
10/1/2020,6/1/2021,4
10/1/2020,7/1/2021,3
10/1/2020,8/1/2021,3
10/1/2020,9/1/2021,4
10/1/2020,10/1/2021,5
10/1/2020,11/1/2021,5
10/1/2020,12/1/2021,9
10/1/2020,1/1/2022,4
10/1/2020,2/1/2022,5
10/1/2020,3/1/2022,3
10/1/2020,4/1/2022,5
10/1/2020,5/1/2022,5
10/1/2020,6/1/2022,4
10/1/2020,7/1/2022,5
10/1/2020,8/1/2022,2
10/1/2020,9/1/2022,1
10/1/2020,10/1/2022,6
10/1/2020,11/1/2022,2
10/1/2020,12/1/2022,3
10/1/2020,1/1/2023,8
10/1/2020,2/1/2023,9
10/1/2020,3/1/2023,3
10/1/2020,4/1/2023,5
10/1/2020,5/1/2023,6
10/1/2020,6/1/2023,3
10/1/2020,7/1/2023,6
10/1/2020,8/1/2023,1
10/1/2020,9/1/2023,2
10/1/2020,10/1/2023,3
10/1/2020,11/1/2023,7
10/1/2020,1/1/2024,7
10/1/2020,2/1/2024,2
10/1/2020,3/1/2024,4
10/1/2020,4/1/2024,4
10/1/2020,5/1/2024,5
10/1/2020,6/1/2024,5
10/1/2020,7/1/2024,7
10/1/2020,8/1/2024,2
10/1/2020,10/1/2024,1
10/1/2020,11/1/2024,1
10/1/2020,12/1/2024,2
10/1/2020,1/1/2025,7
10/1/2020,2/1/2025,3
10/1/2020,3/1/2025,8
10/1/2020,4/1/2025,3
11/1/2020,11/1/2020,174
11/1/2020,12/1/2020,1
11/1/2020,1/1/2021,2
11/1/2020,2/1/2021,6
11/1/2020,3/1/2021,3
11/1/2020,4/1/2021,6
11/1/2020,5/1/2021,6
11/1/2020,6/1/2021,6
11/1/2020,7/1/2021,5
11/1/2020,8/1/2021,8
11/1/2020,9/1/2021,7
11/1/2020,10/1/2021,5
11/1/2020,11/1/2021,8
11/1/2020,12/1/2021,5
11/1/2020,1/1/2022,2
11/1/2020,2/1/2022,3
11/1/2020,3/1/2022,6
11/1/2020,4/1/2022,5
11/1/2020,5/1/2022,5
11/1/2020,6/1/2022,7
11/1/2020,7/1/2022,7
11/1/2020,8/1/2022,7
11/1/2020,9/1/2022,6
11/1/2020,10/1/2022,3
11/1/2020,11/1/2022,6
11/1/2020,12/1/2022,5
11/1/2020,1/1/2023,5
11/1/2020,2/1/2023,2
11/1/2020,3/1/2023,3
11/1/2020,4/1/2023,8
11/1/2020,5/1/2023,2
11/1/2020,6/1/2023,3
11/1/2020,7/1/2023,6
11/1/2020,8/1/2023,6
11/1/2020,9/1/2023,3
11/1/2020,10/1/2023,5
11/1/2020,11/1/2023,4
11/1/2020,12/1/2023,9
11/1/2020,1/1/2024,5
11/1/2020,2/1/2024,8
11/1/2020,3/1/2024,5
11/1/2020,4/1/2024,4
11/1/2020,5/1/2024,3
11/1/2020,6/1/2024,4
11/1/2020,7/1/2024,3
11/1/2020,8/1/2024,2
11/1/2020,9/1/2024,1
11/1/2020,10/1/2024,5
11/1/2020,11/1/2024,3
11/1/2020,12/1/2024,2
11/1/2020,1/1/2025,4
11/1/2020,2/1/2025,2
11/1/2020,3/1/2025,6
11/1/2020,4/1/2025,4
12/1/2020,12/1/2020,198
12/1/2020,1/1/2021,8
12/1/2020,2/1/2021,3
12/1/2020,3/1/2021,9
12/1/2020,4/1/2021,5
12/1/2020,5/1/2021,3
12/1/2020,6/1/2021,7
12/1/2020,7/1/2021,7
12/1/2020,8/1/2021,7
12/1/2020,9/1/2021,2
12/1/2020,10/1/2021,4
12/1/2020,11/1/2021,7
12/1/2020,12/1/2021,4
12/1/2020,1/1/2022,3
12/1/2020,2/1/2022,4
12/1/2020,3/1/2022,9
12/1/2020,4/1/2022,7
12/1/2020,5/1/2022,3
12/1/2020,6/1/2022,6
12/1/2020,7/1/2022,4
12/1/2020,8/1/2022,6
12/1/2020,9/1/2022,2
12/1/2020,10/1/2022,2
12/1/2020,11/1/2022,4
12/1/2020,12/1/2022,4
12/1/2020,1/1/2023,5
12/1/2020,2/1/2023,5
12/1/2020,3/1/2023,7
12/1/2020,4/1/2023,4
12/1/2020,5/1/2023,6
12/1/2020,6/1/2023,4
12/1/2020,7/1/2023,2
12/1/2020,8/1/2023,5
12/1/2020,9/1/2023,7
12/1/2020,10/1/2023,4
12/1/2020,11/1/2023,10
12/1/2020,12/1/2023,4
12/1/2020,1/1/2024,8
12/1/2020,2/1/2024,7
12/1/2020,3/1/2024,5
12/1/2020,4/1/2024,6
12/1/2020,5/1/2024,5
12/1/2020,6/1/2024,5
12/1/2020,7/1/2024,4
12/1/2020,8/1/2024,5
12/1/2020,9/1/2024,3
12/1/2020,10/1/2024,3
12/1/2020,11/1/2024,3
12/1/2020,12/1/2024,2
12/1/2020,1/1/2025,4
12/1/2020,2/1/2025,5
12/1/2020,3/1/2025,5
12/1/2020,4/1/2025,7
1/1/2021,1/1/2021,164
1/1/2021,2/1/2021,4
1/1/2021,3/1/2021,6
1/1/2021,4/1/2021,7
1/1/2021,5/1/2021,4
1/1/2021,6/1/2021,1
1/1/2021,7/1/2021,1
1/1/2021,8/1/2021,5
1/1/2021,9/1/2021,9
1/1/2021,10/1/2021,7
1/1/2021,11/1/2021,7
1/1/2021,12/1/2021,5
1/1/2021,1/1/2022,3
1/1/2021,2/1/2022,2
1/1/2021,3/1/2022,5
1/1/2021,4/1/2022,4
1/1/2021,5/1/2022,4
1/1/2021,6/1/2022,3
1/1/2021,7/1/2022,3
1/1/2021,8/1/2022,2
1/1/2021,9/1/2022,9
1/1/2021,10/1/2022,5
1/1/2021,11/1/2022,5
1/1/2021,12/1/2022,3
1/1/2021,1/1/2023,4
1/1/2021,2/1/2023,7
1/1/2021,3/1/2023,2
1/1/2021,4/1/2023,2
1/1/2021,5/1/2023,4
1/1/2021,6/1/2023,6
1/1/2021,7/1/2023,3
1/1/2021,8/1/2023,8
1/1/2021,9/1/2023,5
1/1/2021,10/1/2023,7
1/1/2021,11/1/2023,3
1/1/2021,12/1/2023,7
1/1/2021,1/1/2024,1
1/1/2021,2/1/2024,2
1/1/2021,3/1/2024,5
1/1/2021,4/1/2024,4
1/1/2021,5/1/2024,6
1/1/2021,6/1/2024,5
1/1/2021,7/1/2024,5
1/1/2021,8/1/2024,3
1/1/2021,9/1/2024,6
1/1/2021,10/1/2024,3
1/1/2021,11/1/2024,4
1/1/2021,12/1/2024,3
1/1/2021,1/1/2025,4
1/1/2021,2/1/2025,3
1/1/2021,3/1/2025,2
1/1/2021,4/1/2025,5
2/1/2021,2/1/2021,142
2/1/2021,3/1/2021,1
2/1/2021,4/1/2021,3
2/1/2021,5/1/2021,1
2/1/2021,6/1/2021,3
2/1/2021,7/1/2021,5
2/1/2021,8/1/2021,5
2/1/2021,9/1/2021,3
2/1/2021,10/1/2021,4
2/1/2021,11/1/2021,1
2/1/2021,12/1/2021,3
2/1/2021,1/1/2022,3
2/1/2021,2/1/2022,4
2/1/2021,3/1/2022,2
2/1/2021,4/1/2022,4
2/1/2021,5/1/2022,2
2/1/2021,6/1/2022,3
2/1/2021,7/1/2022,6
2/1/2021,8/1/2022,6
2/1/2021,9/1/2022,6
2/1/2021,10/1/2022,4
2/1/2021,11/1/2022,6
2/1/2021,12/1/2022,8
2/1/2021,1/1/2023,4
2/1/2021,2/1/2023,2
2/1/2021,3/1/2023,2
2/1/2021,4/1/2023,2
2/1/2021,5/1/2023,9
2/1/2021,6/1/2023,8
2/1/2021,7/1/2023,4
2/1/2021,8/1/2023,7
2/1/2021,9/1/2023,5
2/1/2021,10/1/2023,4
2/1/2021,11/1/2023,3
2/1/2021,12/1/2023,5
2/1/2021,1/1/2024,5
2/1/2021,2/1/2024,3
2/1/2021,3/1/2024,4
2/1/2021,4/1/2024,1
2/1/2021,5/1/2024,6
2/1/2021,6/1/2024,3
2/1/2021,7/1/2024,3
2/1/2021,8/1/2024,5
2/1/2021,9/1/2024,4
2/1/2021,10/1/2024,3
2/1/2021,11/1/2024,3
2/1/2021,12/1/2024,3
2/1/2021,1/1/2025,5
2/1/2021,2/1/2025,4
2/1/2021,3/1/2025,4
2/1/2021,4/1/2025,3
3/1/2021,3/1/2021,155
3/1/2021,4/1/2021,2
3/1/2021,5/1/2021,1
3/1/2021,6/1/2021,3
3/1/2021,7/1/2021,3
3/1/2021,8/1/2021,4
3/1/2021,9/1/2021,3
3/1/2021,10/1/2021,4
3/1/2021,11/1/2021,6
3/1/2021,12/1/2021,3
3/1/2021,1/1/2022,4
3/1/2021,2/1/2022,4
3/1/2021,3/1/2022,2
3/1/2021,4/1/2022,3
3/1/2021,5/1/2022,3
3/1/2021,6/1/2022,8
3/1/2021,7/1/2022,7
3/1/2021,8/1/2022,6
3/1/2021,9/1/2022,7
3/1/2021,10/1/2022,10
3/1/2021,11/1/2022,5
3/1/2021,12/1/2022,8
3/1/2021,1/1/2023,7
3/1/2021,2/1/2023,3
3/1/2021,3/1/2023,5
3/1/2021,4/1/2023,5
3/1/2021,5/1/2023,3
3/1/2021,6/1/2023,6
3/1/2021,7/1/2023,7
3/1/2021,8/1/2023,3
3/1/2021,9/1/2023,3
3/1/2021,10/1/2023,3
3/1/2021,11/1/2023,1
3/1/2021,12/1/2023,4
3/1/2021,1/1/2024,5
3/1/2021,2/1/2024,4
3/1/2021,3/1/2024,4
3/1/2021,4/1/2024,4
3/1/2021,5/1/2024,3
3/1/2021,6/1/2024,6
3/1/2021,7/1/2024,2
3/1/2021,8/1/2024,4
3/1/2021,9/1/2024,7
3/1/2021,10/1/2024,6
3/1/2021,11/1/2024,3
3/1/2021,12/1/2024,5
3/1/2021,1/1/2025,4
3/1/2021,2/1/2025,5
3/1/2021,3/1/2025,4
3/1/2021,4/1/2025,5
4/1/2021,4/1/2021,156
4/1/2021,5/1/2021,7
4/1/2021,6/1/2021,4
4/1/2021,7/1/2021,6
4/1/2021,8/1/2021,5
4/1/2021,9/1/2021,5
4/1/2021,10/1/2021,2
4/1/2021,11/1/2021,6
4/1/2021,12/1/2021,6
4/1/2021,1/1/2022,2
4/1/2021,2/1/2022,1
4/1/2021,3/1/2022,3
4/1/2021,4/1/2022,1
4/1/2021,5/1/2022,4
4/1/2021,6/1/2022,4
4/1/2021,7/1/2022,3
4/1/2021,8/1/2022,5
4/1/2021,9/1/2022,3
4/1/2021,10/1/2022,1
4/1/2021,11/1/2022,8
